74,Bhojpur,5,1,1,1,1,03/11/18 00:00,03/11/18 00:00
75,Bhopal,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
76,Bhubaneswar,26,1,1,1,1,03/11/18 00:00,03/11/18 00:00
77,Bidar,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
78,Bijapur,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
79,Bijnor,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
80,Bikaner,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
81,Bilaspur,7,1,1,1,1,03/11/18 00:00,03/11/18 00:00
82,Birbhum,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
83,Bishnupur,22,1,1,1,1,03/11/18 00:00,03/11/18 00:00
84,Bongaigaon,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
85,Budaun,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
86,Budgam,15,1,1,1,1,03/11/18 00:00,03/11/18 00:00
87,Bulandshahr,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
88,Buldhana,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
89,Bundi,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
90,Burdwan,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
91,Cachar,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
92,Calicut,18,1,1,1,1,03/11/18 00:00,03/11/18 00:00
93,Carnicobar,1,1,1,1,1,03/11/18 00:00,03/11/18 00:00
94,Chamba,14,1,1,1,1,03/11/18 00:00,03/11/18 00:00
95,Chamoli,35,1,1,1,1,03/11/18 00:00,03/11/18 00:00
96,Champawat,35,1,1,1,1,03/11/18 00:00,03/11/18 00:00
97,Champhai,24,1,1,1,1,03/11/18 00:00,03/11/18 00:00
98,Chandauli,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
99,Chandel,22,1,1,1,1,03/11/18 00:00,03/11/18 00:00
100,Chandigarh,6,1,1,1,1,03/11/18 00:00,03/11/18 00:00
101,Chandrapur,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
102,Changanacherry,18,1,1,1,1,03/11/18 00:00,03/11/18 00:00
103,Changlang,3,1,1,1,1,03/11/18 00:00,03/11/18 00:00
104,Channapatna,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
105,Chengalpattu,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
106,Chennai City Central,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
107,Chennai City North,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
108,Chennai City South,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
109,Chhatarpur,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
110,Chhindwara,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
111,Chikmagalur,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
112,Chikodi,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
113,Chitradurga,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
114,Chitrakoot,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
115,Chittoor,2,1,1,1,1,03/11/18 00:00,03/11/18 00:00
116,Chittorgarh,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
117,Churachandpur,22,1,1,1,1,03/11/18 00:00,03/11/18 00:00
118,Churu,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
119,Coimbatore,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
120,Contai,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
121,Cooch Behar,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
122,Cuddalore,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
123,Cuddapah,2,1,1,1,1,03/11/18 00:00,03/11/18 00:00
124,Cuttack City,26,1,1,1,1,03/11/18 00:00,03/11/18 00:00
125,Cuttack North,26,1,1,1,1,03/11/18 00:00,03/11/18 00:00
126,Cuttack South,26,1,1,1,1,03/11/18 00:00,03/11/18 00:00
127,Dadra & Nagar Haveli,8,1,1,1,1,03/11/18 00:00,03/11/18 00:00
128,Daman,9,1,1,1,1,03/11/18 00:00,03/11/18 00:00
129,Darbhanga,5,1,1,1,1,03/11/18 00:00,03/11/18 00:00
130,Darjiling,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
131,Darrang,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
132,Dausa,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
133,Dehra Gopipur,14,1,1,1,1,03/11/18 00:00,03/11/18 00:00
134,Dehradun,35,1,1,1,1,03/11/18 00:00,03/11/18 00:00
135,Delhi,10,1,1,1,1,03/11/18 00:00,03/11/18 00:00
136,Deoria,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
137,Dhalai,33,1,1,1,1,03/11/18 00:00,03/11/18 00:00
138,Dhanbad,16,1,1,1,1,03/11/18 00:00,03/11/18 00:00
139,Dharamsala,14,1,1,1,1,03/11/18 00:00,03/11/18 00:00
140,Dharmapuri,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
141,Dharwad,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
142,Dhemaji,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
143,Dhenkanal,26,1,1,1,1,03/11/18 00:00,03/11/18 00:00
144,Dholpur,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
145,Dhubri,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
146,Dhule,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
147,Dibang Valley,3,1,1,1,1,03/11/18 00:00,03/11/18 00:00
148,Dibrugarh,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
149,Diglipur,1,1,1,1,1,03/11/18 00:00,03/11/18 00:00
150,Dimapur,25,1,1,1,1,03/11/18 00:00,03/11/18 00:00
151,Dindigul,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
152,Diu,9,1,1,1,1,03/11/18 00:00,03/11/18 00:00
153,Doda,15,1,1,1,1,03/11/18 00:00,03/11/18 00:00
154,Dungarpur,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
155,Durg,7,1,1,1,1,03/11/18 00:00,03/11/18 00:00
156,East Champaran,5,1,1,1,1,03/11/18 00:00,03/11/18 00:00
157,East Garo Hills,23,1,1,1,1,03/11/18 00:00,03/11/18 00:00
158,East Kameng,3,1,1,1,1,03/11/18 00:00,03/11/18 00:00
159,East Khasi Hills,23,1,1,1,1,03/11/18 00:00,03/11/18 00:00
160,East Siang,3,1,1,1,1,03/11/18 00:00,03/11/18 00:00
161,East Sikkim,30,1,1,1,1,03/11/18 00:00,03/11/18 00:00
162,Eluru,2,1,1,1,1,03/11/18 00:00,03/11/18 00:00
163,Ernakulam,18,1,1,1,1,03/11/18 00:00,03/11/18 00:00
164,Erode,31,1,1,1,1,03/11/18 00:00,03/11/18 00:00
165,Etah,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
166,Etawah,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
167,Faizabad,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
168,Faridabad,13,1,1,1,1,03/11/18 00:00,03/11/18 00:00
169,Faridkot,28,1,1,1,1,03/11/18 00:00,03/11/18 00:00
170,Farrukhabad,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
171,Fatehgarh Sahib,28,1,1,1,1,03/11/18 00:00,03/11/18 00:00
172,Fatehpur,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
173,Fazilka,28,1,1,1,1,03/11/18 00:00,03/11/18 00:00
174,Ferrargunj,1,1,1,1,1,03/11/18 00:00,03/11/18 00:00
175,Firozabad,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
176,Firozpur,28,1,1,1,1,03/11/18 00:00,03/11/18 00:00
177,Gadag,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
178,Gadchiroli,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
179,Gandhinagar,12,1,1,1,1,03/11/18 00:00,03/11/18 00:00
180,Ganganagar,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
181,Gautam Buddha Nagar,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
182,Gaya,5,1,1,1,1,03/11/18 00:00,03/11/18 00:00
183,Ghaziabad,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
184,Ghazipur,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
185,Giridih,16,1,1,1,1,03/11/18 00:00,03/11/18 00:00
186,Goa,11,1,1,1,1,03/11/18 00:00,03/11/18 00:00
187,Goalpara,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
188,Gokak,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
189,Golaghat,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
190,Gonda,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
191,Gondal,12,1,1,1,1,03/11/18 00:00,03/11/18 00:00
192,Gondia,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
193,Gorakhpur,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
194,Gudivada,2,1,1,1,1,03/11/18 00:00,03/11/18 00:00
195,Gudur,2,1,1,1,1,03/11/18 00:00,03/11/18 00:00
196,Gulbarga,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
197,Guna,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
